"","date","site_id","daily_mean_pm10_concentration","state","county","site_longitude","site_latitude","concurred"
"222",2018-08-27,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"223",2018-08-28,"060670010",14,"California","Sacramento",-121.49311,38.56844,"N"
"224",2018-08-29,"060670010",19,"California","Sacramento",-121.49311,38.56844,"N"
"225",2018-08-30,"060670010",20,"California","Sacramento",-121.49311,38.56844,"N"
"226",2018-08-31,"060670010",23,"California","Sacramento",-121.49311,38.56844,"N"
"227",2018-09-01,"060670010",29,"California","Sacramento",-121.49311,38.56844,"N"
"228",2018-09-02,"060670010",32,"California","Sacramento",-121.49311,38.56844,"N"
"229",2018-09-03,"060670010",36,"California","Sacramento",-121.49311,38.56844,"N"
"230",2018-09-04,"060670010",32,"California","Sacramento",-121.49311,38.56844,"N"
"231",2018-09-05,"060670010",29,"California","Sacramento",-121.49311,38.56844,"N"
"232",2018-09-06,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"233",2018-09-07,"060670010",31,"California","Sacramento",-121.49311,38.56844,"N"
"234",2018-09-08,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"235",2018-09-09,"060670010",22,"California","Sacramento",-121.49311,38.56844,"N"
"236",2018-09-10,"060670010",31,"California","Sacramento",-121.49311,38.56844,"N"
"237",2018-09-11,"060670010",35,"California","Sacramento",-121.49311,38.56844,"N"
"238",2018-09-12,"060670010",24,"California","Sacramento",-121.49311,38.56844,"N"
"239",2018-09-13,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"240",2018-09-14,"060670010",18,"California","Sacramento",-121.49311,38.56844,"N"
"241",2018-09-15,"060670010",15,"California","Sacramento",-121.49311,38.56844,"N"
"242",2018-09-16,"060670010",9,"California","Sacramento",-121.49311,38.56844,"N"
"243",2018-09-17,"060670010",16,"California","Sacramento",-121.49311,38.56844,"N"
"244",2018-09-18,"060670010",25,"California","Sacramento",-121.49311,38.56844,"N"
"245",2018-09-19,"060670010",39,"California","Sacramento",-121.49311,38.56844,"N"
"246",2018-09-20,"060670010",49,"California","Sacramento",-121.49311,38.56844,"N"
"247",2018-09-21,"060670010",44,"California","Sacramento",-121.49311,38.56844,"N"
"248",2018-09-22,"060670010",21,"California","Sacramento",-121.49311,38.56844,"N"
"249",2018-09-23,"060670010",16,"California","Sacramento",-121.49311,38.56844,"N"
"250",2018-09-24,"060670010",33,"California","Sacramento",-121.49311,38.56844,"N"
