"","date","site_id","daily_max_8_hour_ozone_concentration","state","county","site_longitude","site_latitude","concurred"
"182",2016-10-03,"245100054",0.042,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"183",2016-10-04,"245100054",0.033,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"184",2016-10-05,"245100054",0.033,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"185",2016-10-06,"245100054",0.032,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"186",2016-10-07,"245100054",0.03,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"187",2016-10-08,"245100054",0.026,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"188",2016-10-09,"245100054",0.026,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"189",2016-10-10,"245100054",0.033,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"190",2016-10-11,"245100054",0.033,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"191",2016-10-12,"245100054",0.027,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"192",2016-10-13,"245100054",0.031,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"193",2016-10-14,"245100054",0.028,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"194",2016-10-15,"245100054",0.035,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"195",2016-10-16,"245100054",0.033,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"196",2016-10-17,"245100054",0.034,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"197",2016-10-18,"245100054",0.027,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"198",2016-10-19,"245100054",0.045,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"199",2016-10-20,"245100054",0.041,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"200",2016-10-21,"245100054",0.031,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"201",2016-10-22,"245100054",0.028,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"202",2016-10-23,"245100054",0.037,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"203",2016-10-24,"245100054",0.038,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"204",2016-10-25,"245100054",0.031,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"205",2016-10-26,"245100054",0.027,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"206",2016-10-27,"245100054",0.026,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"207",2016-10-28,"245100054",0.034,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"208",2016-10-29,"245100054",0.033,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"209",2016-10-30,"245100054",0.043,"Maryland","Baltimore (City)",-76.553075,39.328807,"N"
"210",2016-04-06,"390350034",0.046,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"211",2016-04-07,"390350034",0.038,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"212",2016-04-08,"390350034",0.041,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"213",2016-04-09,"390350034",0.038,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"214",2016-04-10,"390350034",0.036,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"215",2016-04-11,"390350034",0.032,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"216",2016-04-12,"390350034",0.036,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"217",2016-04-13,"390350034",0.038,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"218",2016-04-14,"390350034",0.041,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"219",2016-04-15,"390350034",0.054,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"220",2016-04-16,"390350034",0.063,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"221",2016-04-17,"390350034",0.048,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"222",2016-04-18,"390350034",0.056,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"223",2016-04-19,"390350034",0.044,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"224",2016-04-20,"390350034",0.043,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"225",2016-04-21,"390350034",0.046,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"226",2016-04-22,"390350034",0.039,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"227",2016-04-23,"390350034",0.032,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"228",2016-04-24,"390350034",0.047,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"229",2016-04-26,"390350034",0.039,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"230",2016-04-27,"390350034",0.04,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"231",2016-04-28,"390350034",0.029,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"232",2016-04-29,"390350034",0.033,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"233",2016-04-30,"390350034",0.031,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"234",2016-05-01,"390350034",0.032,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"235",2016-05-02,"390350034",0.031,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"236",2016-05-03,"390350034",0.038,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"237",2016-05-04,"390350034",0.043,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"238",2016-05-05,"390350034",0.034,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"239",2016-05-06,"390350034",0.044,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"240",2016-05-07,"390350034",0.052,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"241",2016-05-08,"390350034",0.041,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"242",2016-05-09,"390350034",0.04,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"243",2016-05-10,"390350034",0.039,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"244",2016-05-11,"390350034",0.044,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"245",2016-05-12,"390350034",0.046,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"246",2016-05-17,"390350034",0.043,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"247",2016-05-18,"390350034",0.046,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"248",2016-05-19,"390350034",0.046,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"249",2016-05-20,"390350034",0.049,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"250",2016-05-21,"390350034",0.048,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"251",2016-05-22,"390350034",0.049,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"252",2016-05-23,"390350034",0.046,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"253",2016-05-24,"390350034",0.074,"Ohio","Cuyahoga",-81.575256,41.55523,"Y"
"254",2016-05-25,"390350034",0.073,"Ohio","Cuyahoga",-81.575256,41.55523,"Y"
"255",2016-05-26,"390350034",0.054,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"256",2016-05-27,"390350034",0.053,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"257",2016-05-28,"390350034",0.055,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"258",2016-05-29,"390350034",0.049,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"259",2016-05-30,"390350034",0.058,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"260",2016-05-31,"390350034",0.059,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"261",2016-06-01,"390350034",0.058,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"262",2016-06-02,"390350034",0.063,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"263",2016-06-03,"390350034",0.064,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"264",2016-06-04,"390350034",0.06,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"265",2016-06-05,"390350034",0.051,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"266",2016-06-06,"390350034",0.058,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"267",2016-06-07,"390350034",0.034,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"268",2016-06-08,"390350034",0.043,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"269",2016-06-09,"390350034",0.042,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"270",2016-06-10,"390350034",0.068,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"271",2016-06-11,"390350034",0.074,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"272",2016-06-12,"390350034",0.048,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"273",2016-06-13,"390350034",0.033,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"274",2016-06-14,"390350034",0.042,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"275",2016-06-15,"390350034",0.069,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"276",2016-06-17,"390350034",0.055,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"277",2016-06-18,"390350034",0.052,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"278",2016-06-19,"390350034",0.067,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"279",2016-06-20,"390350034",0.06,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"280",2016-06-21,"390350034",0.06,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"281",2016-06-22,"390350034",0.07,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
"282",2016-06-23,"390350034",0.045,"Ohio","Cuyahoga",-81.575256,41.55523,"N"
